2006-11-28 | 27 | 13 | 10 | EPADBDM | COMUNICADO 55/06-SMS.3
ACOMPANHAMENTO DA EVOLUCAO DOS PRECOS REGISTRADOS, PARA FINS DO DISPOSTO NO ART. 14 DO DEC. 46.662, DE 24/11/05:
ATAS DE REGISTRO DE PRECOS - SMS.G - NOVEMBRO/06
ATA	ITEM	OBJETO	PRECO/R$
086/06	2.22	LENTE INC.ACRILICO ESF.CILIND. -()+DE 4,24A6,00 () 0,25A2,00	19,00/PAR
086/06	2.23	LENTE INC.ACRILICO ESF.CILIND. -()+DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.24	LENTE INC.ACRILICO ESF.CILIND. -()+DE 6,25A10,00() 0,25A6,00	45,60/PAR
086/06	2.25	LENTE INC.ACRILICO ESF.CILIND. -()+DE10,25A20,00()0,25A6,00	55,10/PAR
086/06	2.34	LENTE INC.ACRILICO ESF.CILIND. -()-DE 0,25A2,00 () 0,25A2,00	19,00/PAR
086/06	2.35	LENTE INC.ACRILICO ESF.CILIND. -()-DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.36	LENTE INC.ACRILICO ESF.CILIND. -()-DE 2,25A4,00 () 0,25A2,00	19,00/PAR
086/06	2.37	LENTE INC.ACRILICO ESF.CILIND. -()-DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.38	LENTE INC.ACRILICO ESF.CILIND. -()-DE 4,24A6,00 () 0,25A2,00	19,00/PAR
086/06	2.39	LENTE INC.ACRILICO ESF.CILIND. -()-DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.40	LENTE INC.ACRILICO ESF.CILIND. -()-DE 6,25A10,00 () 0,25A6,00	45,60/PAR
086/06	2.26	LENTE INC.ACRILICO ESF.CILIND. +()-DE 0,25A2,00 () 0,25A2,00	19,00/PAR
086/06	2.27	LENTE INC.ACRILICO ESF.CILIND. +()-DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.28	LENTE INC.ACRILICO ESF.CILIND. +()-DE 2,25A4,00 () 0,25A2,00	19,00/PAR
086/06	2.29	LENTE INC.ACRILICO ESF.CILIND. +()-DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.30	LENTE INC.ACRILICO ESF.CILIND. +()-DE 4,24A6,00 () 0,25A2,00	19,00/PAR
086/06	2.31	LENTE INC.ACRILICO ESF.CILIND. +()-DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.32	LENTE INC.ACRILICO ESF.CILIND. +()-DE 6,25A10,00 ()0,25A6,00	45,60/PAR
086/06	2.33	LENTE INC.ACRILICO ESF.CILIND. +()-DE10,25A20,00()0,25A6,00	55,10/PAR
086/06	2.10	LENTE INC.ACRILICO ESF.CILIND.+()+DE 0,25A2,00 () 0,25A2,00 	19,00/PAR
086/06	2.11	LENTE INC.ACRILICO ESF.CILIND.+()+DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.12	LENTE INC.ACRILICO ESF.CILIND.+()+DE 2,25A4,00 () 0,25A2,00	19,00/PAR
086/06	2.13	LENTE INC.ACRILICO ESF.CILIND.+()+DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.14	LENTE INC.ACRILICO ESF.CILIND.+()+DE 4,25A6,00 () 0,25A2,00	30,40/PAR
086/06	2.15	LENTE INC.ACRILICO ESF.CILIND.+()+DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.16	LENTE INC.ACRILICO ESF.CILIND.+()+DE 6,25A10,00() 0,25A6,00	45,60/PAR
086/06	2.17	LENTE INC.ACRILICO ESF.CILIND.+()+DE10,25A20,00()0,25A6,00	55,10/PAR
086/06	2.8	LENTE INC.ACRILICO PLANO CILIND. -(NEG.) DE 0,25 A 2,00	19,00/PAR
086/06	2.9	LENTE INC.ACRILICO PLANO CILIND. -(NEG.) DE 2,25 A 6,00	41,80/PAR
086/06	2.6	LENTE INC.ACRILICO PLANO CILIND.+(POS.) DE 0,25 A 2,00	19,00/PAR
086/06	2.7	LENTE INC.ACRILICO PLANO CILIND.+(POS.) DE 2,25 A 6,00	41,80/PAR
086/06	2.34	LENTE INC.CRISTAL ESF.CILIND. -()- DE 0,25A2,00 () 0,25A2,00	20,90/PAR
086/06	2.35	LENTE INC.CRISTAL ESF.CILIND. -()- DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.36	LENTE INC.CRISTAL ESF.CILIND. -()- DE 2,25A4,00 () 0,25A2,00	20,90/PAR
086/06	2.37	LENTE INC.CRISTAL ESF.CILIND. -()- DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.38	LENTE INC.CRISTAL ESF.CILIND. -()- DE 4,24A6,00 () 0,25A2,00	30,40/PAR
086/06	2.39	LENTE INC.CRISTAL ESF.CILIND. -()- DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.41	LENTE INC.CRISTAL ESF.CILIND. -()- DE10,25A20,00()0,25A6,00	49,40/PAR
086/06	2.18	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 0,25A2,00 () 0,25A2,00	20,90/PAR
086/06	2.19	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.20	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 2,25A4,00 () 0,25A2,00	20,90/PAR
086/06	2.21	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.22	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 4,24A6,00 () 0,25A2,00	20,90/PAR
086/06	2.23	LENTE INC.CRISTAL ESF.CILIND. -()+ DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.25	LENTE INC.CRISTAL ESF.CILIND. -()+ DE10,25A20,00()0,25A6,00	49,40/PAR
086/06	2.24	LENTE INC.CRISTAL ESF.CILIND. -()+DE 6,25A10,00 () 0,25A6,00	49,40/PAR
086/06	2.40	LENTE INC.CRISTAL ESF.CILIND. -()-DE 6,25A10,00 () 0,25A6,00	49,40/PAR
086/06	2.26	LENTE INC.CRISTAL ESF.CILIND. +()- DE 0,25A2,00 () 0,25A2,00	20,90/PAR
086/06	2.27	LENTE INC.CRISTAL ESF.CILIND. +()- DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.28	LENTE INC.CRISTAL ESF.CILIND. +()- DE 2,25A4,00 () 0,25A2,00	20,90/PAR
086/06	2.29	LENTE INC.CRISTAL ESF.CILIND. +()- DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.30	LENTE INC.CRISTAL ESF.CILIND. +()- DE 4,24A6,00 () 0,25A2,00	20,90/PAR
086/06	2.31	LENTE INC.CRISTAL ESF.CILIND. +()- DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.33	LENTE INC.CRISTAL ESF.CILIND. +()- DE10,25A20,00()0,25A6,00	49,40/PAR
086/06	2.32	LENTE INC.CRISTAL ESF.CILIND. +()-DE 6,25A10,00 () 0,25A6,00	49,40/PAR
086/06	2.11	LENTE INC.CRISTAL ESF.CILIND.+()+ DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.12	LENTE INC.CRISTAL ESF.CILIND.+()+ DE 2,25A4,00 () 0,25A2,00	30,40/PAR
086/06	2.13	LENTE INC.CRISTAL ESF.CILIND.+()+ DE 2,25A4,00 () 2,25A6,00	30,40/PAR
086/06	2.14	LENTE INC.CRISTAL ESF.CILIND.+()+ DE 4,25A6,00 () 0,25A2,00	20,90/PAR
086/06	2.15	LENTE INC.CRISTAL ESF.CILIND.+()+ DE 4,25A6,00 () 2,25A6,00	30,40/PAR
086/06	2.17	LENTE INC.CRISTAL ESF.CILIND.+()+ DE10,25A20,00()0,25A6,00	49,40/PAR
086/06	2.16	LENTE INC.CRISTAL ESF.CILIND.+()+DE 6,25A10,00 () 0,25A6,00	49,40/PAR
086/06	2.8	LENTE INC.CRISTAL PLANO CILIND. -(NEG.) DE 0,25 A 2,00	20,90/PAR
086/06	2.9	LENTE INC.CRISTAL PLANO CILIND. -(NEG.) DE 2,25 A 6,00	49,40/PAR
086/06	2.6	LENTE INC.CRISTAL PLANO CILIND.+(POS.) DE 0,25 A 2,00	20,90/PAR
086/06	2.7	LENTE INC.CRISTAL PLANO CILIND.+(POS.) DE 2,25 A 6,00	20,90/PAR
086/06	2.10	LENTE INC.CRSITAL ESF.CILIND.+()+ DE 0,25A2,00 () 0,25A2,00 	20,90/PAR
086/06	2.1	LENTE INCOLOR ACRILICO ESFERICA DE 0,00 A 2,00	19,00/PAR
086/06	2.5	LENTE INCOLOR ACRILICO ESFERICA DE 10,00 A 20,00	41,80/PAR
086/06	2.2	LENTE INCOLOR ACRILICO ESFERICA DE 2,25 A 4,00	19,00/PAR
086/06	2.3	LENTE INCOLOR ACRILICO ESFERICA DE 4,25 A 6,00	19,00/PAR
086/06	2.4	LENTE INCOLOR ACRILICO ESFERICA DE 6,25 A 10,00	30,40/PAR
086/06	2.1	LENTE INCOLOR CRISTAL ESFERICA DE 0,00 A 2,00	20,90/PAR
086/06	2.5	LENTE INCOLOR CRISTAL ESFERICA DE 10,00 A 20,00	55,10/PAR
086/06	2.2	LENTE INCOLOR CRISTAL ESFERICA DE 2,25 A 4,00	20,90/PAR
086/06	2.3	LENTE INCOLOR CRISTAL ESFERICA DE 4,25 A 6,00	20,90/PAR
086/06	2.4	LENTE INCOLOR CRISTAL ESFERICA DE 6,25 A 10,00	55,10/PAR
087/05	2	IRM LIQUIDO	16,50/FR
087/05	1	IRM PO	0,65/G
087/06	2	ASS.CLORID.BUPIV. 5MG/ML C/GLIC.80MG/ML-CX.C/20AMP.4ML	1,10/AMP
087/06	1	CLORID. LIDOCAINA 100MG/ML SPRAY - CX. C/ 01 FR. 50ML	19,86/FR
088/05	1	CATETER NASAL PARA OXIGENIO N° 4	0,25/UN
088/05	3	CATETER NASAL PARA OXIGENIO N° 8	0,255/UN
088/06	4	DIPROPIONATO BECLOM.SPRAY - FR.20ML/50MCG 	16,50/FR
089/06	1	DRENO DE TORAX  CALIBRE N° 10	4,28/UN
089/06	2	DRENO DE TORAX  CALIBRE N° 12	4,28/UN
089/06	3	DRENO DE TORAX  CALIBRE N° 14	4,28/UN
089/06	4	DRENO DE TORAX  CALIBRE N° 16	3,99/UN
089/06	5	DRENO DE TORAX  CALIBRE N° 18	3,99/UN
089/06	6	DRENO DE TORAX  CALIBRE N° 20	3,99/UN
089/06	7	DRENO DE TORAX  CALIBRE N° 22	4,05/UN
090/05	1	BISTURI DESCARTAVEL N° 15 - CX. C/ 50 UNIDADES	0,538/UN
090/05	2	BISTURI DESCARTAVEL N° 22 - CX. C/ 50 UNIDADES	0,538/UN
090/05	3	BISTURI DESCARTAVEL N° 23 - CX. C/ 50 UNIDADES	0,538/UN
090/05	4	BISTURI DESCARTAVEL N° 24 - CX. C/ 50 UNIDADES	0,538/UN
090/06	3	CITOMEGALOVIRUS IGG - KIT P/ 192 TESTES	3,00/TESTE
090/06	4	CITOMEGALOVIRUS IGM - KIT P/ 96 TESTES	4,91/TESTE
090/06	5	RUBEOLA IGG - KIT P/ 192 TESTES	4,90/TESTE
090/06	6	RUBEOLA IGM - KIT P/ 96 TESTES	4,80/TESTE
090/06	1	TOXOPLASMOSE IGG - KIT P/ 192 TESTES	2,83/TESTE
090/06	2	TOXOPLASMOSE IGM - KIT P/ 96 TESTES	3,95/TESTE
091/05	1	FLUORETO DE SODIO GEL A 1,23% - FR. 200ML	2,00/FR
091/06	3	COLGADURA METALICA INDIVIDUAL 	1,95/UN
091/06	7.1	CURETA MAC CALL N° 1/2	5,95/UN
091/06	7.2	CURETA MAC CALL N° 13/14	5,95/UN
091/06	7.3	CURETA MAC CALL N° 17/18	5,95/UN
091/06	8.1	ESCAVADOR DUPLO N° 11,5	2,42/UN
091/06	8.1	ESCAVADOR DUPLO N° 19	2,42/UN
091/06	6.1	RASPADOR TIPO FOICE N° 1/2	5,95/UN
091/06	6.2	RASPADOR TIPO FOICE N° 3/4	5,95/UN
091/06	6.3	RASPADOR TIPO FOICE N° 5/6	5,95/UN
092/06	4	PERIOSTOMO	4,86/UN
093/05	2	EUGENOL FR. 20ML	5,00/FR
093/05	1	OXIDO DE ZINCO PO - FR. 50G	3,50/FR
093/06	5.5	CURETAS DE GRACEY N° 1/2	5,62/UN
093/06	5.1	CURETAS DE GRACEY N° 11/12	5,62/UN
093/06	5.2	CURETAS DE GRACEY N° 13/14	5,62/UN
093/06	5.6	CURETAS DE GRACEY N° 3/4	5,62/UN
093/06	5.3	CURETAS DE GRACEY N° 5/6	5,62/UN
093/06	5.4	CURETAS DE GRACEY N° 7/8	5,62/UN
093/06	5.7	CURETAS DE GRACEY N° 9/10	5,62/UN
094/05	1	HEMOSTATICO LOCAL	1,35/UN
094/06	1	TALA MOLDAVEL P/ IMOB. DE DEDOS 10CMX2CM-PAC.C/12 UN	0,55/UN
094/06	2	TALA MOLDAVEL P/ IMOB. DE DEDOS 15CMX2CM-PAC.C/12 UN	0,68/UN
094/06	3	TALA MOLDAVEL P/ IMOB. DE DEDOS 20CMX2CM-PAC.C/12 UN	0,84/UN
094/06	4	TALA MOLDAVEL P/ IMOB. DE DEDOS 25CMX2CM-PAC.C/12 UN	1,00/UN
094/06	5	TALA MOLDAVEL P/ IMOB. DE DEDOS 86CMX10CM-PAC.C/10UN	15,50/UN
095/05	1	RESINA COMPOSTA AUTOPOLIMERIZAVEL - KIT	56,85/KIT
095/06	1	ESPARADRAPO 10CMX450M - CX. C/ 72 ROLOS	2,70/RL
096/05	1	TIRAS REATIVAS P/ URINA - FR. C/ 100 TIRAS	0,315/TIRA
096/06	1	SERINGA DESCARTAVEL 3ML - CX. C/ 1.000 UN	0,0810/UN
097/05	1	SERINGA DESC.INSULINA AG.FIXA 12,7MMX0,33MM-CX.C/100UN	0,633/UN
097/06	2	SERINGA DESCARTAVEL 5ML - CX. C/ 1.600 UN	0,0789/UN
098/05	1	RESINA FOTOPOLIMERIZAVEL  COR A1 - SERINGA C/ 4 G	23,00/UN
098/05	2	RESINA FOTOPOLIMERIZAVEL  COR A2 - SERINGA C/ 4 G	23,00/UN
098/05	3	RESINA FOTOPOLIMERIZAVEL  COR B2 - SERINGA C/ 4 G	23,00/UN
098/06	4	ALGINATO - PAC. 410 G	0,0365/G
098/06	9	ATIVADOR - BNG. C/ 60 G	0,38/G
098/06	11	CERA UTILIDADE - CX. C/ 225 G/5 LAMINAS	1,25/UN
098/06	5	PASTA ZINCO ENO.-KIT C/BNG.OXIDO ZINCO+BNG.EUGENOL	30,38/KIT
098/06	8	SILICONE DE CONDENSACAO(FLUIDA) - BNG. C/ 120 G	0,21/G
099/05	4	RESINA FOTOPOLIMERIZAVEL COR  C2 - SERINGA C/ 4 G	23,00/UN
099/05	5	RESINA FOTOPOLIMERIZAVEL COR  C4 - SERINGA C/ 4 G	23,00/UN
099/06	3	GESSO PEDRA TIPO IV - EMB. 1 KG	14,50/KG
100/05	2	RATICIDA ANTICOAG. DOSE UNICA BLOCO-CX.C/12 EMB.1 KG	10,25/KG
100/05	1	RATICIDA ANTICOAG.DOSE UNICA ISCA - CX. C/ 12 PAC. 1KG	7,90/KG
100/06	3	MEIO DE AGAR CHOCOLATE POLYVITEX - PAC. C/ 10 PLACAS	1,71/UN
100/06	1	MEIO DE AGAR MAC CONKEY - PAC. 10 PLACAS	1,35/UN
100/06	5	MEIO DE AGAR MULLER-HINTON - PAC. C/ 05 PLACAS	3,00/UN
100/06	4	MEIO DE AGAR POLYVITEX VCAT3 - PAC. C/ 10 PLACAS	2,25/UN
100/06	2	MEIO DE AGAR SANGUE DE CARNEIRO 5% - PAC. 10 PLACAS	1,71/UN
101/05	3	RATICIDA ANTICOAG. PO DE CONTATO-CX.C/12FR 1KG	17,95/KG
101/06	10	ALCA CALIBRADA	0,175/UN
101/06	6	CONJUNTO EPM-MILI - KIT P/ 25 TESTES	2,39/CONJ
101/06	9	MEIO DE CARY BLAIR	1,50/UN
101/06	8	MEIO DE STUART	1,50/UN
101/06	7	SWAB ESTERIL	0,60/UN
102/05	3	SALBUTAMOL AEROSSOL 100MCG/DOSE-FR.C/200 DOSES	9,25/FR
102/06	1	NOREPINEFRINA SOL. INJ. 1MG/ML - CX. C/ 10 AMP. 4 ML	2,50/AMP
103/05	4	SULFAMETO. 400MG+TRIMETO. 80MG  - CX. C/ 300 CP	0,039/CP
103/06	3	CLORETO SODIO SOL. INJ. 200MG/ML -CX. C/ 200 AMP. 10 ML	0,14/AMP
103/06	8	GLICOSE SOL. INJ. 250MG/ML - CX. C/ 200 AMP. 10 ML	0,142/AMP
104/05	4	CLONAZEPAN 2MG CP. - CX. C/ 200 CP 2MG	0,05/CP
104/05	1	FLUMAZENIL SOL. INJ. 0,1MG/ML - CX. C/ 5 AMP. 05 ML	12,128/AMP
104/05	3	MIDAZOLAN  SOL. INJ. 5MG/ML -  CX. C/ 5 AMP. 10 ML	2,17/AMP
104/06	7	OXITOCINA 5UI/ML - EMB. C/ 50 AMP C/ 5UI C/ 1ML	0,49/AMP
105/06	9	HEPARINA 5000 UI/ML - CX. C/ 25 FAM 5 ML	1,96/FAM
105/06	10	HEPARINA SUBCUTANEA 5000 UI - CX. C/ 25 AMP 0,25 ML	0,48/AMP
106/06	1	NITRATO MICONAZOL 20MG/G-CX.01BNG C/ 80G+APLICADOR	1,52/BNG
107/05	7	AXSYM ANTI-HBE 2.0 - 100 TESTES	4,83/TESTE
107/05	3	AXSYM AUSAB - 100 TESTES	4,83/TESTE
107/05	4	AXSYM CORE - 100 TESTES	6,40/TESTE
107/05	5	AXSYM CORE M REAGENTE - 100 TESTES	4,93/TESTE
107/05	10	AXSYM HAVAB - 100 TESTES	5,17/TESTE
107/05	9	AXSYM HAVAB M 2.00 REAGENTE - 100 TESTES	7,47/TESTE
107/05	6	AXSYM HBE 2.0 - 100 TESTES	4,77/TESTE
107/05	2	AXSYM HBSAG (V2) - 100 TESTES	6,03/TESTE
107/05	8	AXSYM HCV 3.0 REAGENTE - 100 TESTES	8,17/TESTE
107/05	1	AXSYM HIV-1/HIV-2 - 100 TESTES	7,58/TESTE
107/06	4	PROPOFOL EMULSAO 10MG/ML - CX. C/ 5 AMP. 20ML	2,65/AMP
108/05	1	MONONITRATO ISSOSSORBIDA 10MG/ML - CX. C/ 50 AMP 1ML	0,88/AMP
108/06	5	SAIS P/ REIDRATACAO ORAL - CX. C/ 50 ENV.	0,415/ENV
109/05	4	NEOSTIGMINA 0,5MG/ML - CX. C/ 50 AMP 1ML	0,48/AMP
109/06	4	GLICON.CLOREX.SOL.DEGER. 2% - CX. C/ 12 FR. 1.000 ML	9,00/FR
109/06	1	SOL. AQUOSA IODOPOVIDONA 10% - CX. C/ 12 FR. 1.000 ML	7,80/FR
109/06	3	SOL.ALCOOLICA IODOPOVIDONA 10%-CX. C/12 FR. 1.000 ML	9,30/FR
109/06	2	SOL.DEGERMANTE IODOPOVIDONA 10%-CX.C/12 FR. 1.000 ML	9,00/FR
110/05	5	CEFTRIAXONA SODICA-FAM 250MG - CX.C/ 1 FAM 250MG+DIL.	5,74/FAM
110/06	1	TORNEIRA DESC. C/ 3 VIAS - CX. C/ 100 UN	0,3650/UN
111/05	2	CIPERMETRINA 40 PM 	82,50/KG
111/05	1	INSET.PIRETROIDE C/LAMBDAC. 2,5% CS - CX.C/ 6 FR.C/1 L	114,10/L
111/06	2	VITAMINA B-12 5000MCG - CX. C/ 50 AMP 2 ML	1,05/AMP
112/05	3	GEL INSETICIDA CONTROLE BARATAS-TB 30G - CX C/ 50 UN	10,48/TB
112/06	3	VITAMINA DO COMPLEXO B - CX. C/ 100 AMP. 2ML	0,24/AMP
113/05	2	DIPIRONA SODICA 500MG CP-CX.C/ 500 CP	0,0376/CP
113/06	5	POLICRESULENO SOL.TOPICA 360MG/ML - FR. C/ 12ML	11,28/FR
114/05	1	CATETER P/PUNCAO VENOSA CENT.16G(30,4CM)-CX C/100UN	11,96/UN
114/06	5.1	CINZEL CIRURGICO N° 01	3,77/UN
114/06	5.2	CINZEL CIRURGICO N° 02	3,77/UN
114/06	5.3	CINZEL CIRURGICO N° 03	3,77/UN
114/06	7.1	FORCEPS DENTAL INFANTIL N° 01	18,87/UN
114/06	7.2	FORCEPS DENTAL INFANTIL N° 02	18,87/UN
114/06	7.3	FORCEPS DENTAL INFANTIL N° 03	18,87/UN
114/06	7.4	FORCEPS DENTAL INFANTIL N° 04	18,87/UN
114/06	7.5	FORCEPS DENTAL INFANTIL N° 05	18,87/UN
114/06	7.6	FORCEPS DENTAL INFANTIL N° 06	18,87/UN
114/06	1	LIMA P/ OSSO TIPO SELDIN N° 12	9,50/UN
114/06	2	SINDESMOTOMO	3,95/UN
114/06	3	TESOURA CIRURGICA RETA PONTA ROMBA	8,35/UN
115/05	1	CATETER INTRAVENOSO AGULHADO N° 20G - CX. C/ 50 UN	1,17/UN
115/05	2	CATETER INTRAVENOSO AGULHADO N° 22G - CX. C/ 50 UN	1,15/UN
115/06	6	CUBA RIM	17,20/UN
115/06	8	PINCA ALLIS	14,00/UN
115/06	9.1	PINCA KELLY 14CM FORMATO CURVO	11,30/UN
115/06	9.2	PINCA KELLY 14CM FORMATO RETO	11,30/UN
115/06	4	TESOURA CIRURGICA RETA TIPO IRIS	6,90/UN
116/05	4	AMPICILINA SODICA INJ. 500ML FAM - CX. C/ 50 FAM 	0,80/FAM
116/06	1	COMPRESSA DE GAZE EM ROLO	19,19/RL
117/05	5	ASSOC.IMIPENEM 500MG E CILASTINA SOD.500MG	34,50/FAM
117/06	1	INSETICIDA BIOLOGICO GRANULADO-SACO PLAST.C/ 18,1KG	60,00/KG
118/06	8	ALVEOLOTOMO	29,62/UN
118/06	1	PRENDEDOR DE GUARDANAPO	5,40/UN
119/05	2	ASSOC.ACET.RETI.AMIN.METION.CLORAN.POM.OFTAL.TB3,5G	6,15/BNG
119/05	10	CLORID. CICLOPENTOLATO SOL. OFTAL. 10MG/ML - FR.  5ML	4,40/FR
119/05	3	CLORID. CIPROFLOXACINO SOL. OFTAL. 3MG/ML - FR. 5ML	8,30/FR
119/05	4	CLORID. PROXIMETACAINA SOL. OFTAL. 5MG/ML - FR. 5ML	3,71/FR
119/05	6	FLUORESCEINA SODICA SOL. OFTAL. 10MG/ML - FR. 3ML	4,20/FR
119/05	7	SULFATO GENTAMICINA SOL. OFTAL. 5MG/ML - FR. 5ML	4,34/FR
119/06	6	ALAVANCA RETA P/ CIRURGIA ODONTOLOGICA N° 302	11,30/UN
119/06	9	CABO P/ BISTURI N° 3	4,00/UN
119/06	12	MARTELO CIRURGICO 	29,15/UN
120/06	7	ALAVANCA APICAL N° 303	11,30/UN
120/06	5	ALAVANCA RETA P/ CIRURGIA ODONTOLOGICA N° 301	10,80/UN
120/06	10	CANULA CIRURGICA	8,26/UN
120/06	11	CINZEL PONTA RETA 01L	8,15/UN
121/05	1	AVENTAL DESCARTAVEL - PAC. C/ 50 UN	0,957/UN
121/06	1	CATETER INTRAV. AGULHADO CALIBRE 14G - CX. C/ 50 UN	0,90/UN
121/06	2	CATETER INTRAV. AGULHADO CALIBRE 16G - CX. C/ 50 UN	0,91/UN
121/06	3	CATETER INTRAV. AGULHADO CALIBRE 18G - CX. C/ 50 UN	0,874/UN
121/06	4	CATETER INTRAV. AGULHADO CALIBRE 24G - CX. C/ 50 UN	0,8399/UN
122/05	1	PASTA PROFILATICA TUBO 90G	0,036/G
122/06	1	SONDA LEVINE CALIBRE N° 12 - PAC. C/ 10 UN	0,46/UN
122/06	4	SONDA LEVINE CALIBRE N° 18 - PAC. C/ 10 UN	0,63/UN
122/06	5	SONDA LEVINE CALIBRE N° 20 - PAC. C/ 10 UN	0,69/UN
122/06	6	SONDA LEVINE CALIBRE N° 22 - PAC. C/ 10 UN	0,77/UN
123/05	6	FILME RADIOLOGICO 15 X 40CM - CX. C/ 100 FOLHAS	51,80/CX
123/05	1	FILME RADIOLOGICO 18 X 24CM - CX. C/ 100 FOLHAS	38,89/CX
123/05	2	FILME RADIOLOGICO 24 X 30CM - CX. C/ 100 FOLHAS	64,76/CX
123/05	3	FILME RADIOLOGICO 30 X 40CM - CX. C/ 100 FOLHAS	104,98/CX
123/05	4	FILME RADIOLOGICO 35 X 35CM - CX. C/ 100 FOLHAS	107,49/CX
123/05	5	FILME RADIOLOGICO 35 X 43CM - CX. C/ 100 FOLHAS	131,67/CX
123/06	2	SONDA LEVINE CALIBRE N° 14 - PAC. C/ 20 UN.	0,48/UN
123/06	3	SONDA LEVINE CALIBRE N° 16 - PAC. C/ 20 UN.	0,55/UN
123/06	7	SONDA LEVINE CALIBRE N° 24 - PAC. C/ 20 UN	0,85/UN
124/06	7	AGUA DESTILADA FR. 500 ML - CX. C/ 24 FR. 500 ML	0,83/FR
124/06	1	CLORETO SODIO 0,9% FR. 250 ML - CX. C/ 50 FR. 250 ML	0,79/FR
124/06	5	GLICOSE SOL.INJ. 5% FR. 1.000 ML - CX. C/ 12 FR. 1.000 ML	1,78/FR
124/06	6	RINGER C/ LACTATO FR. 500 ML - CX. C/ 24 FR. 500 ML	0,90/FR
125/05	5	CLORID.LIDOCAINA INJ. 50MG/ML AMP - CX. C/ 50 AMP 2ML	1,59/AMP
125/05	2	CLORID.ONDANSETRONA  8 MG CP - CX. C/ 10CP	1,16/CP
125/05	3	CLORID.ONDANSETRONA INJ. 2MG/ML AMP-CX.C/ 50 AMP 2ML	0,58/AMP
125/05	4	SULF.MORFINA INJ. 0,2MG/ML AMP - CX. C/ 50 AMP. 1 ML	1,60/AMP
125/06	3	GLICOSE SOL. INJ. 10% FR. 500ML - CX. C/ 20 FR. 500 ML	1,34/FR
125/06	4	GLICOSE SOL. INJ. 5% FR. 250ML - CX. C/ 40 FR. 250 ML	0,80/FR
126/05	4	ENOXAPARINA SODICA INJ.100MG/ML-0,2ML - CX.C/10UN	8,24/UN
126/05	1	ESPIRONOLACTONA 100MG-CP - CX.C/ 16 CP	0,34/CP
126/05	3	METRONIDAZOL  SUSP. 40MG/ML - CX.C/ 50 FR.80ML	0,9069/FR
126/05	5	TIAMINA (VITAMINAB1) 300MG CP - CX. C/ 30 CP	0,25/CP
126/06	1	PRESERVATIVO MASCULINO S/ LUBRIFICANTE - CX. C/144 UN	0,182/UN
127/05	2	ALCOOL ETILICO 70%-GEL - REFIL C/ 800ML - CX. C/ 12 FR 	8,10/UN
127/05	4	BENZINA FR.1000 ML - CX. C/ 12 FR.	8,00/FR
127/05	3	PEROXIDO DE HIDROG. SOL.10 VOL.-FR.100ML - CX. C/ 24FR	0,78/FR
127/06	1	PRILOCAINA 3% COM FELIPRESSINA - CX. C/ 50 TUB. 1,8 ML	0,40/TUB.
128/05	1	SABONETE DE GLICERINA 20G - CX. C/ 50 UN	0,26/UN
128/05	2	SABONETE DE GLICERINA 90G - CX. C/ 50 UN	0,70/UN
128/06	8	SONDA URETRAL CALIBRE N° 18	0,3869/UN
128/06	9	SONDA URETRAL CALIBRE N° 20	0,4259/UN
128/06	10	SONDA URETRAL CALIBRE N° 22	0,4289/UN
128/06	1	SONDA URETRAL CALIBRE N° 4	0,2330/UN
128/06	2	SONDA URETRAL CALIBRE N° 6	0,2383/UN
129/05	2	OMEPRAZOL SOL.INJ. 40MG-FAM - EMB.50 FAM+DIL. 10ML	5,02/FAM
129/06	4	SONDA URETRAL CALIBRE N° 10 - PAC. C/ 20 UN	0,24/UN
129/06	5	SONDA URETRAL CALIBRE N° 12 - PAC. C/ 20 UN	0,2640/UN
129/06	6	SONDA URETRAL CALIBRE N° 14 - PAC. C/ 20 UN	0,2980/UN
